close,co_id,date,difference_percentage,high,low,open,total_trade_count,total_trade_dollar,total_trade_stocks
32.5,1101, 99/10/20,-0.1,32.95,32.5,32.55,"3,340","344,081,779","10,527,755"
33.0,1101, 99/10/21,0.5,33.1,32.35,32.55,"2,630","246,458,065","7,509,955"
33.3,1101, 99/10/22,0.3,33.3,32.6,33.15,"2,370","302,028,104","9,197,148"
33.25,1101, 99/10/25,-0.05,33.65,33.0,33.3,"2,684","258,829,170","7,764,872"
33.5,1101, 99/10/26,0.25,33.5,32.8,33.15,"2,704","313,624,392","9,470,671"
33.05,1101, 99/10/27,-0.45,33.55,32.65,33.5,"2,807","335,722,425","10,164,992"
32.75,1101, 99/10/28,-0.3,33.4,32.6,33.05,"2,971","387,546,098","11,777,288"
32.6,1101, 99/10/29,-0.15,32.7,32.3,32.7,"2,061","297,979,035","9,170,022"
30.0,1101, 99/09/01,0.55,30.1,29.5,29.5,"3,775","438,360,341","14,719,848"
30.95,1101, 99/09/02,0.95,31.1,30.5,30.5,"8,795","1,138,102,616","36,967,477"
31.8,1101, 99/09/03,0.85,31.8,31.0,31.0,"8,867","1,339,897,368","42,379,773"
31.8,1101, 99/09/06,0.0,32.2,31.8,32.0,"7,638","770,981,383","24,101,120"
31.3,1101, 99/09/07,-0.5,32.0,31.2,32.0,"2,747","352,450,645","11,190,065"
31.15,1101, 99/09/08,-0.15,31.2,30.8,31.2,"2,353","248,296,843","8,009,303"
31.25,1101, 99/09/09,0.1,31.55,30.9,31.55,"2,800","265,215,182","8,489,140"
32.0,1101, 99/09/10,0.75,32.15,31.6,31.6,"5,661","837,793,174","26,224,482"
32.8,1101, 99/09/13,0.8,32.95,32.5,32.5,"5,633","675,159,373","20,627,744"
33.0,1101, 99/09/14,0.2,33.0,32.5,33.0,"3,707","550,263,327","16,762,707"
32.9,1101, 99/09/15,-0.1,33.0,32.3,33.0,"2,516","415,294,292","12,663,524"
32.85,1101, 99/09/16,-0.05,33.0,32.4,32.9,"2,667","278,815,348","8,519,189"
32.6,1101, 99/09/17,-0.25,32.95,32.45,32.9,"1,929","274,529,036","8,411,993"
33.4,1101, 99/09/20,0.8,33.65,32.85,32.85,"4,949","579,044,291","17,349,533"
33.3,1101, 99/09/21,-0.1,33.8,32.8,33.6,"3,747","395,809,437","11,867,624"
32.4,1101, 99/09/23,-0.9,33.3,32.35,33.3,"3,382","315,480,200","9,680,392"
32.3,1101, 99/09/24,-0.1,32.6,32.0,32.4,"3,971","409,854,400","12,721,578"
33.35,1101, 99/09/27,1.05,33.6,32.2,32.35,"5,525","692,861,567","20,868,888"
33.95,1101, 99/09/28,0.6,33.95,33.0,33.3,"5,795","750,178,479","22,357,455"
33.15,1101, 99/09/29,-0.8,34.1,33.15,34.0,"4,381","653,808,860","19,405,743"
33.4,1101, 99/09/30,0.25,33.4,32.75,33.1,"2,303","268,571,384","8,112,620"
30.0,1101, 99/08/02,0.2,30.5,29.85,29.9,"5,922","847,244,265","28,072,615"
30.3,1101, 99/08/03,0.3,30.4,29.85,30.4,"4,029","526,401,576","17,473,981"
29.9,1101, 99/08/04,-0.4,30.35,29.7,30.3,"3,191","445,067,720","14,875,988"
29.3,1101, 99/08/05,-0.6,29.95,29.0,29.8,"4,988","459,108,995","15,647,529"
29.8,1101, 99/08/06,0.5,29.85,28.75,28.9,"4,151","834,537,577","28,347,710"
30.25,1101, 99/08/09,0.45,30.5,30.25,30.4,"5,800","825,294,873","27,172,191"
30.45,1101, 99/08/10,0.2,31.1,30.45,30.6,"8,021","770,389,309","25,114,480"
30.4,1101, 99/08/11,-0.05,30.7,30.3,30.55,"3,063","478,259,006","15,686,284"
30.1,1101, 99/08/12,-0.3,30.25,29.75,30.05,"2,878","293,238,864","9,775,184"
29.9,1101, 99/08/13,-0.2,30.1,29.35,30.0,"4,765","608,452,926","20,452,652"
29.35,1101, 99/08/16,-0.55,30.0,29.0,30.0,"7,197","682,602,461","23,331,621"
28.9,1101, 99/08/17,-0.45,29.35,28.8,29.35,"5,841","548,634,410","18,908,948"
28.9,1101, 99/08/18,0.0,29.25,28.85,29.1,"4,681","398,749,318","13,738,394"
28.75,1101, 99/08/19,-0.15,29.1,28.65,29.0,"3,456","302,769,784","10,507,388"
28.8,1101, 99/08/20,0.05,28.95,28.5,28.65,"3,335","323,806,580","11,283,421"
30.1,1101, 99/08/23,1.3,30.4,29.0,29.0,"9,815","983,975,550","32,908,620"
30.0,1101, 99/08/24,-0.1,30.6,30.0,30.3,"7,098","939,796,868","31,056,387"
29.3,1101, 99/08/25,-0.7,30.0,29.15,30.0,"5,037","489,647,209","16,633,081"
29.4,1101, 99/08/26,0.1,29.6,29.0,29.3,"3,001","322,560,159","11,012,115"
29.7,1101, 99/08/27,0.3,29.8,29.45,29.8,"2,185","188,846,657","6,373,232"
